problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"[['B', 'A'], ['E', 'F', 'D', 'G', 'C']]","[['D', 'B', 'C', 'E', 'G', 'A', 'F']]",11,14.831698656082153,1571,3937,16.399153232574463,552,2082,9.408846378326416,524,2007,1144,7.977182388305664,534,2004,1066
"[['G', 'C'], ['E', 'A', 'D', 'F', 'B']]","[['E', 'D', 'A', 'B', 'G', 'F', 'C']]",11,22.268472909927368,2067,5116,28.056953191757202,812,3181,12.713617324829102,790,3136,1652,14.855366230010986,824,3164,1561
"[['E', 'A', 'C'], ['F', 'D', 'B', 'G']]","[['B', 'F', 'D', 'A', 'G', 'E', 'C']]",10,2.453474998474121,674,1781,4.366887331008911,133,651,2.070396661758423,130,633,421,2.3088278770446777,235,851,356
"[['D', 'G'], ['E', 'F', 'C', 'A', 'B']]","[['C', 'A', 'B', 'F', 'G', 'D', 'E']]",9,0.057845115661621094,63,212,0.805814266204834,36,132,0.33414554595947266,30,109,49,0.13762497901916504,47,156,11
"[['F', 'E', 'D'], ['B', 'A', 'G', 'C']]","[['E', 'B', 'C', 'A', 'F', 'D', 'G']]",11,18.400803327560425,1744,4158,18.99859380722046,608,2294,10.327056169509888,585,2212,1318,9.40884256362915,595,2212,1211
"[['C', 'D', 'B'], ['A', 'E', 'G', 'F']]","[['B', 'D', 'F', 'A', 'G', 'C', 'E']]",9,0.05585074424743652,81,257,0.4159209728240967,22,102,0.17852306365966797,22,102,51,0.14860224723815918,55,227,33
"[['E', 'A', 'D', 'G', 'C'], ['B', 'F']]","[['B', 'E', 'G', 'A', 'F', 'C', 'D']]",11,28.90121340751648,2620,5351,26.73252844810486,948,3242,17.21571636199951,918,3154,2095,16.90924906730652,924,3155,1938
"[['B', 'C', 'G'], ['E', 'F', 'D', 'A']]","[['F', 'D', 'C', 'B', 'E', 'A', 'G']]",10,0.6662197113037109,321,923,2.9032368659973145,111,482,1.0840699672698975,106,463,211,1.077120065689087,166,540,132
"[['G', 'F', 'C', 'D'], ['E', 'A', 'B']]","[['F', 'C', 'G', 'E', 'B', 'D', 'A']]",11,12.31690239906311,1314,3808,12.735949516296387,408,1873,6.4058709144592285,399,1841,913,5.496271848678589,441,1888,793
"[['C', 'E', 'B', 'A', 'D'], ['F', 'G']]","[['D', 'A', 'C', 'G', 'F', 'E', 'B']]",9,0.18251371383666992,169,487,1.3833329677581787,64,247,0.6153213977813721,64,247,129,0.30721187591552734,117,335,31
